Data_Hora,IdTweet,Tweet,Candidato,Tweet_limpo,Sentimento_Final
2022-07-31 22:00:15+00:00,1553863135819431936,@alexandrekalil @LulaOficial Pior de todos os tempos!,Lula,  pior de todos os tempos!,Neutro
2022-07-31 22:00:14+00:00,1553863132363243523,@JanainaDoBrasil Lula será presidente Márcio França será senador e vc não será mais nada junto com. Sua direta maldita,Lula, lula será presidente márcio frança será senador e vc não será mais nada junto com. sua direta maldita,Neutro
2022-07-31 22:00:13+00:00,1553863127997071360,"Votarei no @ColetivoGuarnic para deputado estadual.
E vou votar também em @LulaOficial presidente, @FlavioDino senador, @CarlosBrandaoMA governador, @FelipeCCamarao vice governador e @MarcioJerry deputado federal.
Esse é meu time. https://t.co/XPssosTjxi",Lula,"votarei no  para deputado estadual.e vou votar também em  presidente,  senador,  governador,  vice governador e  deputado federal.esse é meu time. ",Negativo
2022-07-31 22:00:13+00:00,1553863126575087617,"Lula fracassa como cabo eleitoral em estados-chave https://t.co/UjvIeZHu5P via @YouTube TEM QUE SER BOLSONARO SENÃO ESTAMOS FERRADOS COM A DITADURA QUE ELE JÁ FALOU EM ALGUNS DISCURSOS ANTERIORES,PENSEM COM CONSCIÊNCIA E PAIS QUE TEM FILHOS DE 16 ANOS ,SE QUISEREM TIRAR O TÍTULO",Lula,"lula fracassa como cabo eleitoral em estados-chave  via  tem que ser bolsonaro senão estamos ferrados com a ditadura que ele já falou em alguns discursos anteriores,pensem com consciência e pais que tem filhos de 16 anos ,se quiserem tirar o título",Neutro
2022-07-31 22:00:12+00:00,1553863122645295104,@JornalOGlobo Ele recobrou o juízo.  Afinal ele trabalhou com o Lula.,Lula, ele recobrou o juízo.  afinal ele trabalhou com o lula.,Neutro
2022-07-31 22:00:12+00:00,1553863121344806914,@LaManchaES @LulaOficial Pior q lixo basculho,Lula,  pior q lixo basculho,Neutro
2022-07-31 22:00:11+00:00,1553863120539598853,Lula 13. https://t.co/hW4nJK9Go1,Lula,lula 13. ,Neutro
2022-07-31 22:00:11+00:00,1553863118840897536,"@Fabiopf08Fabio É melhor ir logo desocupando o gabinete, pq LULA vai ser eleito no primeiro turno 🙏🙌❤️ TIC TAC ⌚🕰️",Lula," é melhor ir logo desocupando o gabinete, pq lula vai ser eleito no primeiro turno 🙏🙌❤️ tic tac ⌚🕰️",Negativo
2022-07-31 22:00:09+00:00,1553863109877665794,"Veja o que Lula diz em sua conta no Twitter LulaOficial

E dados estatísticos dos dos últimos 7 dias:
Seguidores:3.937.028
Publicações: 100
Total de likes: 1.104.795
Total de retweets: 127.614

 #LulaPresidente2022 https://t.co/5US3iYfRGl",Lula,veja o que lula diz em sua conta no twitter lulaoficiale dados estatísticos dos dos últimos 7 dias:seguidores:3.937.028publicações: 100total de likes: 1.104.795total de retweets: 127.614  ,Positivo
2022-07-31 22:00:09+00:00,1553863108166295552,@UOLNoticias @LulaOficial https://t.co/6ceLtY6uBK,Lula,  ,Neutro
2022-07-31 22:00:06+00:00,1553863096443322368,"@Adriana_Bueno @LulaOficial Representa a fome que elas vão passar se ele entrar, né? Ou vc é corrupta e vai participar dos roubos que essa quadrilha chamada PT vai cometer se voltar ao poder?",Lula,"  representa a fome que elas vão passar se ele entrar, né? ou vc é corrupta e vai participar dos roubos que essa quadrilha chamada pt vai cometer se voltar ao poder?",Neutro
2022-07-31 22:00:05+00:00,1553863092433752064,"@LulaOficial @ricardostuckert #foralula #forapt #LulaNuncaMais 
#capitaodopovo 
#BolsonaroReeleito2022",Lula,      ,Neutro
2022-07-31 22:00:05+00:00,1553863092022480897,"@brennocorrea O maior corrupto do Ceará falando em conchavos, o cara que aceitou ser Ministro do larápio e depois dos escândalos de corrupção do governo Lula, nunca deixou de apoiar o nine...",Lula," o maior corrupto do ceará falando em conchavos, o cara que aceitou ser ministro do larápio e depois dos escândalos de corrupção do governo lula, nunca deixou de apoiar o nine...",Neutro
2022-07-31 22:00:05+00:00,1553863091632443393,"@rosangelamorosp Vc e seu marido, o Marreco de Marigá, têm obsessão por Lula!
O tratamento para o casal é urgente, incluindo prestar contas à justiça por tudo que vcs fizeram contra o ex-presidente Lula e o PT!
O casal ser contra Lula e o PT, significa mesmo o quê?",Lula," vc e seu marido, o marreco de marigá, têm obsessão por lula!o tratamento para o casal é urgente, incluindo prestar contas à justiça por tudo que vcs fizeram contra o ex-presidente lula e o pt!o casal ser contra lula e o pt, significa mesmo o quê?",Neutro
